x0,x1,x2,y
1,1.57,2.04,-1
1,1.77,2.12,-1
1,1.99,1.8,-1
1,1.79,2.42,-1
1,1.85,1.97,-1
1,2.55,2.46,-1
1,1.71,2.05,-1
1,2.09,2.06,-1
1,1.94,2.25,-1
1,2.15,1.67,-1
1,2.3,1.29,-1
1,1.67,2.11,-1
1,2.19,1.56,-1
1,2.23,2.63,-1
1,1.58,1.8,-1
1,2.67,1.92,-1
1,1.93,2.68,-1
1,1.48,1.97,-1
1,2.14,2.19,-1
1,1.91,1.64,-1
1,2.54,1.98,-1
1,2.01,2.23,-1
1,2.57,2.29,-1
1,1.91,2.68,-1
1,1.66,1.73,-1
1,2.28,1.0,-1
1,3.06,1.97,-1
1,1.24,2.4,-1
1,1.67,1.57,-1
1,1.66,1.69,-1
1,2.34,1.75,-1
1,2.89,1.47,-1
1,2.49,2.49,-1
1,2.24,1.94,-1
1,1.88,1.35,-1
1,2.02,1.93,-1
1,2.7,1.69,-1
1,1.46,2.45,-1
1,2.36,1.47,-1
1,2.74,1.83,-1
1,2.4,2.67,-1
1,1.96,1.7,-1
1,1.97,1.74,-1
1,1.91,1.8,-1
1,1.43,2.0,-1
1,2.34,2.03,-1
1,1.18,1.54,-1
1,1.76,1.78,-1
1,2.17,2.31,-1
1,1.56,2.3,-1
1,2.18,1.46,-1
1,1.62,1.88,-1
1,2.41,2.38,-1
1,2.64,2.25,-1
1,2.1,2.33,-1
1,1.83,1.37,-1
1,1.09,2.45,-1
1,2.23,2.01,-1
1,2.05,2.04,-1
1,2.25,1.82,-1
1,1.77,2.41,-1
1,1.48,1.95,-1
1,1.97,1.67,-1
1,2.11,2.17,-1
1,2.08,2.36,-1
1,2.47,1.0,-1
1,1.89,2.71,-1
1,1.91,1.67,-1
1,2.18,1.72,-1
1,2.14,2.13,-1
1,1.0,2.0,-1
1,2.08,2.51,-1
1,2.36,2.36,-1
1,2.14,1.88,-1
1,1.97,2.07,-1
1,2.0,2.14,-1
1,2.79,2.48,-1
1,1.64,2.08,-1
1,1.84,1.42,-1
1,1.42,1.92,-1
1,2.32,1.56,-1
1,2.67,2.11,-1
1,2.06,2.56,-1
1,2.38,1.92,-1
1,1.99,2.39,-1
1,1.34,2.34,-1
1,2.22,2.21,-1
1,2.21,2.04,-1
1,2.25,2.16,-1
1,2.84,1.73,-1
1,1.71,2.0,-1
1,1.92,2.46,-1
1,2.2,2.23,-1
1,1.94,1.4,-1
1,2.49,1.97,-1
1,2.52,2.67,-1
1,2.39,1.88,-1
1,2.17,2.02,-1
1,1.78,2.84,-1
1,1.91,1.63,-1
1,2.09,1.72,-1
1,2.36,2.2,-1
1,3.94,3.7,1
1,3.5,3.56,1
1,3.26,3.68,1
1,4.27,4.07,1
1,3.65,3.96,1
1,4.01,4.51,1
1,3.9,4.01,1
1,4.28,3.75,1
1,3.3,4.01,1
1,4.1,4.68,1
1,4.19,4.74,1
1,3.85,4.0,1
1,4.35,4.39,1
1,3.47,3.78,1
1,3.95,4.61,1
1,4.72,4.13,1
1,4.03,2.7,1
1,3.8,3.73,1
1,3.61,3.39,1
1,4.1,4.46,1
1,3.86,4.28,1
1,4.67,3.3,1
1,4.14,4.39,1
1,3.26,4.25,1
1,4.65,3.66,1
1,3.99,3.72,1
1,4.09,3.0,1
1,4.13,3.85,1
1,4.32,3.9,1
1,4.47,3.69,1
1,4.14,3.99,1
1,4.01,3.93,1
1,4.57,3.87,1
1,3.8,4.6,1
1,3.54,4.23,1
1,3.22,3.77,1
1,3.5,4.17,1
1,4.39,4.07,1
1,3.72,3.8,1
1,3.6,3.98,1
1,4.15,3.91,1
1,4.15,4.08,1
1,4.39,3.73,1
1,3.64,4.65,1
1,4.07,4.2,1
1,4.36,4.51,1
1,4.3,4.66,1
1,3.96,3.87,1
1,3.96,3.9,1
1,4.41,3.92,1
1,4.45,4.01,1
1,4.66,3.87,1
1,4.02,3.7,1
1,3.61,4.8,1
1,3.32,3.92,1
1,3.48,4.08,1
1,4.55,3.6,1
1,3.68,3.97,1
1,3.74,3.95,1
1,3.52,4.49,1
1,4.28,3.85,1
1,3.94,3.84,1
1,4.26,4.49,1
1,4.07,4.23,1
1,4.16,4.2,1
1,4.29,4.1,1
1,4.08,4.27,1
1,4.57,3.88,1
1,3.91,4.21,1
1,4.49,4.52,1
1,4.43,3.85,1
1,3.28,4.64,1
1,4.28,3.93,1
1,4.22,4.16,1
1,3.69,4.08,1
1,4.12,4.4,1
1,4.24,3.92,1
1,4.25,3.84,1
1,4.22,4.38,1
1,3.95,4.26,1
1,4.5,3.89,1
1,3.8,3.97,1
1,3.58,3.87,1
1,3.68,3.76,1
1,4.46,3.87,1
1,3.69,3.67,1
1,4.09,4.55,1
1,4.02,3.6,1
1,4.05,3.54,1
1,3.77,3.81,1
1,4.16,3.58,1
1,3.8,3.8,1
1,3.55,3.67,1
1,4.27,3.92,1
1,3.96,3.56,1
1,4.06,4.68,1
1,3.78,3.64,1
1,3.77,3.9,1
1,4.19,3.87,1
1,3.98,4.32,1
1,4.62,3.21,1
1,3.63,4.12,1
1,3.83,4.19,1
1,3.84,4.48,1
1,3.93,4.56,1
1,5.05,3.93,1
1,3.8,4.08,1
1,3.84,4.17,1
1,4.06,4.56,1
1,4.43,4.03,1
1,4.07,3.91,1
1,4.08,3.8,1
1,4.33,3.84,1
1,3.96,3.73,1
1,3.64,4.24,1
1,3.51,4.43,1
1,4.16,4.03,1
1,4.03,5.43,1
1,3.59,3.85,1
1,3.89,4.25,1
1,3.7,4.37,1
1,4.07,4.59,1
1,4.4,4.09,1
1,3.98,4.35,1
1,4.26,4.42,1
1,3.6,4.05,1
1,3.73,4.5,1
1,3.91,3.9,1
1,3.84,4.42,1
1,3.77,4.35,1
1,4.33,3.64,1
1,4.32,3.65,1
1,3.95,4.15,1
1,3.88,3.57,1
1,4.38,4.08,1
1,2.93,4.13,1
1,3.95,3.9,1
1,4.17,4.52,1
1,4.0,4.18,1
1,4.5,4.07,1
1,3.48,3.72,1
1,4.34,4.43,1
1,4.75,4.1,1
1,4.33,3.91,1
1,4.42,3.69,1
1,4.66,3.4,1
1,3.79,4.04,1
1,4.77,3.75,1
1,3.93,3.77,1
1,4.7,3.97,1
1,4.73,4.73,1
1,3.75,4.14,1
1,3.73,3.1,1
1,4.43,3.25,1
1,4.85,4.32,1
1,3.98,4.1,1
1,3.56,4.71,1
1,3.5,3.03,1
1,3.68,4.13,1
1,3.29,3.94,1
1,3.51,4.32,1
1,3.52,4.31,1
1,4.62,4.26,1
1,4.03,4.01,1
1,3.86,4.82,1
1,4.05,3.62,1
1,4.15,4.11,1
1,3.96,3.67,1
1,3.79,3.32,1
1,4.53,3.78,1
1,4.22,3.81,1
1,4.06,4.27,1
1,4.33,4.73,1
1,4.24,4.14,1
1,3.82,4.31,1
1,4.16,4.31,1
1,3.66,4.2,1
1,3.56,4.02,1
1,4.22,4.88,1
1,4.03,4.34,1
1,3.51,4.08,1
1,4.84,4.64,1
1,3.66,4.63,1
1,4.98,4.09,1
1,4.63,3.37,1
1,4.32,4.29,1
1,4.85,4.6,1
1,3.71,3.86,1
1,3.69,4.06,1
1,4.14,3.82,1
1,4.67,4.22,1
1,3.95,3.62,1
1,3.27,4.2,1
1,4.12,3.51,1
1,3.5,4.18,1
1,3.47,4.39,1
1,4.33,4.52,1
1,4.25,4.02,1
1,3.85,3.8,1
1,3.6,3.6,1
